	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
1875	1562_1	the difference apple keyboard pc 's keyboard take bit tim get use overall 's worth	pc 's keyboard	44--57	0	's apple pc take keyboard the difference worth
1605	778_1	i speak service rep micro center girlfriend problem power adapter 's not isolated incident	power adapter	98--111	-1	's center power rep micro incident girlfriend problem adapter
1150	2105_1	it 's software speed enable amazing thing	speed	18--23	1	's enable speed it software
892	2486_0	the real stand computer feel keyboard 's speed	keyboard	55--63	1	's speed keyboard
2201	2968_0	otherwise feature 1	feature	21--29	0	1 feature otherwise
424	1626_1	i use build desktop component part recently 7 year old pentium 4 ht 1 gb ram sata desktop stop work rock star 7 year ago	1 gb ram	103--111	0	1 ram stop gb
1011	156_1	it cooling system malfunction 10 minute general use would not move past error	use	64--67	0	10 use move minute general
314	758_0	took 11 hour 3 trip different fedex office brutal conversation 14 bad it support technician world	it support technician	100--122	-1	14 support it took technician world
690	2692_1	laptop advertise 15 casing look like 17	15	26--29	0	15 look
2146	2927_1	another thing month left mouse key broke cost $ 175 send fix	cost	73--79	0	175 cost send broke
1412	2313_1	startup 30 second shutdown 2 4 second resume sleep 0 2 second	shutdown	29--37	0	2 second 30 startup shutdown
809	2498_0	but 're willing pay another 200 dollar windows disc	window disc	54--66	0	200 windows pay dollar disc another
1795	1258_0	it seem nice laptop except i not able load garmin gps software microsoft office 2003	garmin gps software	68--87	-1	2003 software garmin gps
1074	2959_0	the 2 gb ram plenty able run windows 7 least 2 3 program next no slowdown	2 gb ram	4--15	1	3 2 ram gb plenty
454	2959_2	the 2 gb ram plenty able run windows 7 least 2 3 program next no slowdown	program	75--83	1	3 program slowdown
18	2063_0	web access 3g network slow 's frustrating very disappointing	3g network	23--33	-1	3g slow frustrating network 's
989	1913_1	this process continue repeat mother board replace 4 time hard drive replace 3 time	hard drive	99--109	-1	4 time hard drive replace
527	1066_0	one tip please purchase model get 4gb stick ram save $ 10	4gb stick ram	51--67	1	4gb 10 ram stick get
189	3055_1	it 1 ghz faster processor stock 500gb hard drive	500gb hard drive	45--61	1	500gb hard it drive
687	1075_0	it could perfect laptop would fast system memory radeon 5850 would ddr5 instead ddr3	system memory	53--66	-1	5850 system memory
1933	687_3	good keyboard long battery life large hard drive windows 7	window 7	57--66	1	7 keyboard
1469	1124_0	mine come $ 1 700 w dvd burner	dvd burner	26--36	-1	700 burner mine w dvd
1077	162_3	awesome cool system much good graft card ati 5870 8gb ram led backlit screen	8gb ram	64--71	1	8gb 5870 ram led
1984	1101_0	strengths well shaped weaknesses a bad videocard	videocard	39--48	-1	a bad weaknesses videocard
582	1529_0	a mac easy use simply make sense	use	22--25	1	a make use easy
699	2745_0	a cheap price not equal cheap product	price	10--15	1	a price cheap product
1705	792_0	the letter a stop work first week	letter a	4--12	-1	a the work letter
30	1770_0	it far exceed expectation power storage ability	power	40--45	1	ability power
381	2063_1	web access 3g network slow 's frustrating very disappointing	web access	0--10	-1	access web frustrating
569	2902_0	i find also easy able access wireless internet access	wireless internet access	56--80	1	access wireless able find internet
302	719_0	it easy use keyboard easily accommodate large hand weight fantastic	keyboard	23--31	1	accommodate use keyboard
236	1056_0	before i reload windows 7 ultimate use downloaded driver acer 's site	driver	72--79	0	acer driver
1659	1757_1	great laptop price work well action pack game	action pack game	44--61	0	action game work well pack
593	2398_2	i buy mom report battery life last day 's lightweight response compute 's internet focus activity mail research etc excellent	internet focus activity	155--180	0	activity internet focus research
1967	1843_0	i could not find phone number anywhere call actual live person tech support result online chat	tech support	77--89	-1	actual support person live tech result chat call
2049	2303_0	size actually help quite bit able fit already full backpack use restaurant food table always space consuming	size	4--8	1	actually help size
152	490_0	but sony say could send back charge add bluetooth additional seventy something dollar	add bluetooth	55--75	-1	add dollar charge send bluetooth
2080	1764_0	it feature necessary college not able add onto computer	feature	15--23	1	add feature it
2260	2479_1	it much streamlined system add program use internet thing everyone computer	system	30--36	1	add much system streamlined
1840	2479_2	it much streamlined system add program use internet thing everyone computer	use internet	58--76	0	add program computer use internet
1636	2724_0	only issue little slow i 'm fix add ram	ram	75--78	0	add ram
1206	3011_1	great os fabulous improvement exist line bump processor speed add thunderbolt port	processor speed	68--83	1	add speed processor
1357	3011_2	great os fabulous improvement exist line bump processor speed add thunderbolt port	thunderbolt port	99--115	1	add thunderbolt port
611	2227_0	i also get added bonus 30 hd monitor really help extend screen keep eye fresh	30 hd monitor	32--46	1	added help bonus 30 hd monitor
568	2248_1	in addition design tool pages keynotes make much easy create professional look document presentation	keynotes	47--55	1	addition make pages design in keynotes tool
1574	2181_1	three mac book advantage pc ' linux base 'few problem system performance come mac	linux base	50--64	-1	advantage three pc mac book base linux come
768	2692_2	laptop advertise 15 casing look like 17	17	66--69	0	advertise like 17
940	2516_0	great pick portability affordability	portability	15--26	1	affordability portability
619	937_1	i also able install use photoshop aftereffects program easily	aftereffects program	54--75	1	aftereffects photoshop use program
3	1385_0	again problem right speaker not work	right speaker	29--42	-1	again right work speaker not problem
328	1489_0	all program easy straight forward macbook pro clean organize i always strive	program	8--16	1	all always straight program forward macbook strive
1403	2140_0	all apple associate always wiling help anything no matter purchase computer many year pass	apple associate	4--20	1	all associate apple wiling pass
916	1496_0	all program keynote pages numbers option save document microsoft compatible really eliminate need actual	program	11--19	1	all program option pages
1703	1902_0	the screen almost look like barcode freeze	screen	6--12	-1	almost screen the
1188	3073_1	the best thing laptop price along newer feature	feature	75--83	1	along price feature newer
407	1798_0	and probably explain i 've already sata controller go bad within year buy	sata controller	51--66	-1	already i explain 've sata controller go
1789	2782_1	keyboard alright plate around cheap plastic make hollow sound use mouse command button	plate	42--47	-1	alright plate make plastic keyboard
925	654_0	temperatures outside alright not track core processing unit temperature	temperatures	0--12	0	alright temperatures temperature
1873	448_0	also display exceptional	display	9--16	1	also display exceptional
1419	1080_0	also hdd secure inside use rail one set main hard drive	hdd	6--9	1	also hdd secure drive
852	41_0	also space bar make noisy click every time use	space bar	10--19	-1	also make bar space
887	1606_0	i also not like loud noise make bottom computer would get really hot	noise	29--35	-1	also noise loud like
480	1684_0	browsing also no problem i use itunes usually slow pc	browsing	0--8	1	also problem browsing
980	1030_0	also kinda loud fan run	fan	25--28	-1	also run fan loud kinda
1161	1413_1	also size consistency laptop computer website would n't even attempt work computer browser problem	consistency	30--41	-1	also size attempt consistency
1864	2073_0	also speaker not loud but netbook	speaker	9--17	-1	also speaker loud
2028	2500_0	i teach use photoshop amaze	photoshop	20--29	1	amaze use photoshop
1530	2492_0	amazing quality	quality	8--15	1	amazing quality
1784	1639_0	the software amazing	software	4--12	1	amazing the software
1602	2539_0	huge computer person love mankind computer work well get one happy way work run amazing	run	144--148	1	amazing work run get
1178	2918_1	if check find notebook missing port dual core amd intel processor	processor	103--112	0	amd intel processor
88	2918_0	if check find notebook missing port dual core amd intel processor	port	68--73	0	amd notebook find missing port
2160	1648_0	and screen thing absolutely amaze high quality video movie gaming	screen	8--14	1	and amaze screen
941	433_0	and deal company even bad nightmare	company	28--35	-1	and even company deal
431	682_0	get this computer for portability and fast processing	portability	22--33	1	and processing for portability get
37	1372_3	we numerous problem vista adobe flash player quits uninstalled reinstall internet explore quits lose whatever work also windows update appear computer since get update probably 400 time update	windows update	215--229	-1	appear get windows quits 400 update time lose probably
1300	1372_4	we numerous problem vista adobe flash player quits uninstalled reinstall internet explore quits lose whatever work also windows update appear computer since get update probably 400 time update	update	326--332	-1	appear get windows quits 400 update time lose probably
1618	2080_1	even though run snow leopard 2 4 ghz c2d bit antiquated cpu thus occasional spinning wheel would appear run office mac application word excel	cpu	78--81	-1	appear thus leopard ghz 4 c2d antiquated cpu
1317	834_2	this laptop look great surface 17 inch screen good price point nice appearance boot quickly run fast etc	appearance	81--91	1	appearance boot
935	3058_1	improve nothing else resolution appearance cool system graphic card etc	appearance	47--57	-1	appearance system
1322	3058_2	improve nothing else resolution appearance cool system graphic card etc	cool system	59--73	-1	appearance system else etc nothing cool resolution improve
1620	1179_0	first discover word processing program know appleworks rarely translate perfectly anyone else computer translate	appleworks	66--76	-1	appleworks know
179	1192_0	the lock up problem myriad cause common corrupt version appleworks render browser useless	appleworks	101--111	-1	appleworks version cause useless
736	2497_0	but 's application call boot camp allow add another os x like windows	application	17--28	0	application call
2020	2677_1	as laptop not purchase software option come lot i consider useless application	application	103--115	-1	application consider useless
596	300_1	i run dreamweaver final cut pro 7 photoshop safari firefox msn messenger application constantly time	dreamweaver	6--17	0	application constantly run dreamweaver time
2010	1061_0	every driver driver application dvd everything need reload	driver	6--12	1	application driver
1175	300_5	i run dreamweaver final cut pro 7 photoshop safari firefox msn messenger application constantly time	firefox	55--62	0	application firefox
572	2235_1	also come useful application like iphoto best photo application ever	iphoto	49--55	1	application like iphoto
1350	84_0	while i mostly use email internet gaming i 'm confident application live high standard i 've come appreciate mac laptop	application	78--90	1	application live
867	2231_3	find many laptop performance even well low price not find look easy application experience mac	application	122--134	1	application mac
1832	2080_2	even though run snow leopard 2 4 ghz c2d bit antiquated cpu thus occasional spinning wheel would appear run office mac application word excel	office mac application	147--170	-1	application mac excel office
1390	2491_0	first thing first macbook pro many application make life easy unlike window computer	application	41--53	1	application make pro many
516	300_6	i run dreamweaver final cut pro 7 photoshop safari firefox msn messenger application constantly time	msn messenger	64--77	0	application messenger msn
2224	808_0	3 week go computer keep crash not open application	application	70--82	0	application open
765	300_3	i run dreamweaver final cut pro 7 photoshop safari firefox msn messenger application constantly time	photoshop	36--45	0	application photoshop
2233	300_2	i run dreamweaver final cut pro 7 photoshop safari firefox msn messenger application constantly time	final cut pro 7	19--34	0	application pro cut final 7
1505	2273_1	with upgraded memory macbook pro never issue run many many application	application	79--91	0	application run many
2271	300_4	i run dreamweaver final cut pro 7 photoshop safari firefox msn messenger application constantly time	safari	47--53	0	application safari
46	2711_0	seems slow occasionally run many application ie internet tab program etc simultaneously	application	50--62	1	application tab
