	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
0	2333_1	obvious one import featur comput human interfac	human interfac	69--84	0	obvious import comput human interfac	1.0
1	1805_1	good everi day comput web brows	everi day comput	9--28	1	good everi day comput brows	1.0
2	2782_2	keyboard alright plate around cheap plastic make hollow sound use mous command button	mous command button	115--136	-1	use mous command button	0.0
3	1385_0	again problem right speaker not work	right speaker	29--42	-1	problem right speaker not work	-1.0
4	1423_0	my problem dell custom servic	dell custom servic	20--41	-1	problem dell custom servic	-1.0
5	104_0	is partial due fact run window vista	window vista	53--66	0	is partial due fact run window vista	0.0
6	398_0	accordingli i decid never purchas anoth product five year old compaq last 5 year hard drive crash	hard drive	117--127	-1	year old compaq last 5 year hard drive crash	-1.0
7	2766_1	i think camera one requir forget check specif one i purchas	specif	96--110	0	forget check specif	-1.0
8	2808_5	cord come right power plu cord come front headphon mic plu network connect left make messi setup cord go everi direct	setup	138--143	-1	cord cord messi setup cord	-1.0
9	1727_0	the recent safari internet browser freak i use firefox instead	safari internet browser	30--53	-1	the recent safari internet browser freak	-1.0
10	1440_0	my last comput toshiba cost $ 400 work like charm mani year	cost	29--33	1	last comput cost 400 mani year	0.0
11	267_0	the machin bluray player book no mention connect hdtv	bluray player	18--31	0	bluray player book	0.0
12	2219_0	the touchpad intuit much i never want use button click	touchpad	4--12	1	touchpad intuit	0.0
13	2845_1	i buy laptop perform price ratio	price	51--56	1	laptop price ratio	0.0
14	1757_2	great laptop price work well action pack game	work	28--33	1	great price work game	1.0
15	667_0	the batteri realli long	batteri	4--11	1	the batteri realli long	0.0
16	2034_0	i someth els go wrong say good work order abl buy warranti	warranti	101--109	-1	abl buy warranti	0.0
17	2009_1	the batteri never hold charg long one hour within two month stop hold charg ten minut	charg	27--33	-1	hold charg month stop hold charg	-1.0
18	2063_0	web access 3g network slow frustrat veri disappoint	3g network	23--33	-1	access 3g network slow frustrat disappoint	-1.0
19	2142_0	everyth mac wonder take littl use learn get use new system learn fast worth	system	100--106	0	littl use use new system	0.0
20	3074_0	the screen bright keyboard nice	screen	4--10	1	the screen bright keyboard nice	1.0
21	1852_0	after say warranti	warranti	35--43	0	say warranti	0.0
22	3042_2	hard disk the new edit give hard disk space 500gb instead 320gb time teach never trust intern hard disk	intern hard disk	126--144	0	hard disk new edit give hard disk trust intern hard disk	1.0
23	2305_0	fall no cd drive find cheap also portabl make best friend someon alway look space	cd drive	37--45	-1	no cd drive find	-1.0
24	1370_0	when buy new comput 2008 want window tell would cost extra $ 159 go vista	vista	133--138	0	go vista	0.0
25	130_0	realiz problem brand	brand	48--53	-1	realiz problem brand	-1.0
26	395_0	the comput two week late deliveri forget complet requir import paperwork	deliveri	35--43	-1	week late deliveri	0.0
27	773_0	i tire inept servic	servic	23--30	-1	tire inept servic	0.0
28	2516_1	great pick portabl afford	afford	31--44	1	pick portabl afford	0.0
29	99_0	after way mani time send thing repair deliveri servic slow without laptop i no access internet thu no way track find i might hope see comput final kick bucket 2 year	deliveri servic	59--75	-1	repair deliveri servic slow	0.0
30	1770_0	it far exceed expect power storag abil	power	40--45	1	exceed expect power storag	0.0
31	1187_0	anoth includ program laughabl chess game	includ program	8--24	-1	anoth includ program game	0.0
32	1376_1	it seem could updat without creat vista	vista	62--67	-1	updat without creat vista	-1.0
33	460_0	then 4 month charger stop work i forc go buy new hardwar keep comput run	charger	30--37	-1	charger stop	-1.0
34	2112_0	even warranti	warranti	12--20	0	even warranti	0.0
35	1710_0	the macbook also make well comput never get viru laptop run fast first day i buy	run	83--87	1	make laptop run buy	0.0
36	781_0	the dvd burner break burn 3 dvd time	dvd burner	4--14	-1	dvd burner break burn 3 dvd time	0.0
