	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
0	2333_1	obviously one of the most important features of any computer is the human interface	human interface	69--84	0	obviously one the is the human interface	0.0
1	1805_1	good for every day computing and web browsing	every day computing	9--28	1	good for every day computing and browsing	1.0
2	2782_2	while the keyboard itself is alright the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons	mouse command buttons	115--136	-1	the the using the mouse command buttons	0.0
3	1385_0	again the same problem the right speaker did not work	right speaker	29--42	-1	the same problem the right speaker	-1.0
4	1423_0	my problem was with dell customer service	dell customer service	20--41	-1	problem was with dell customer service	-1.0
5	104_0	is this partially due to the fact that it is running windows vista	windows vista	53--66	0	running windows vista	0.0
6	398_0	accordingly i have decided to never purchase another hp product my five year old compaq lasted 5 years before the hard drive crashed	hard drive	117--127	-1	the hard drive crashed	-1.0
7	2766_1	i did think it had a camera because that was one of my requirements but forgot to check in the specifications on this one before i purchased	specifications	96--110	0	one check in the specifications one	0.0
8	2808_5	cords coming out the right for power plus cords coming out front for headphones mic plus network connection on left make for a very messy setup with cords going every direction	setup	138--143	-1	for cords for make for a very messy setup cords	-1.0
9	1727_0	the most recent being that my safari internet browser is freaking out on me but i have just been using firefox instead	safari internet browser	30--53	-1	my safari internet browser freaking	-1.0
10	1440_0	my last computer a toshiba cost only $400 and worked like a charm for many years	cost	29--33	1	last computer cost and worked	0.0
11	267_0	the machine has a bluray player the book has no mention of it or how to connect it to your hdtv	bluray player	18--31	0	has a bluray player has	0.0
12	2219_0	the touchpad is very intuitive so much so that i never want to use buttons to click again	touchpad	4--12	1	the touchpad is very intuitive so so want	1.0
13	2845_1	i bought this laptop because of the performance to price ratio	price	51--56	1	price ratio	0.0
14	1757_2	great laptop for the price works well with action pack games	works	28--33	1	laptop works well games	1.0
15	667_0	the battery is really long	battery	4--11	1	the battery is really long	0.0
16	2034_0	i had something else go wrong and they said it had to be in good working order to be able to buy the warranty	warranty	101--109	-1	able buy the warranty	0.0
17	2009_1	the battery never held a charge longer than one hour and within two months stopped holding a charge for more than ten minutes	charge	27--33	-1	a charge longer holding a charge minutes	0.0
