	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
0	2333_1	obviously one important feature computer human interface	human interface	69--84	0	obviously important computer human interface	1.0
1	1805_1	good every day compute web browsing	every day compute	9--28	1	good every day compute browsing	1.0
2	2782_2	keyboard alright plate around cheap plastic make hollow sound use mouse command button	mouse command button	115--136	-1	use mouse command button	0.0
3	1385_0	again problem right speaker not work	right speaker	29--42	-1	problem right speaker not work	-1.0
4	1423_0	my problem dell customer service	dell customer service	20--41	-1	problem dell customer service	-1.0
5	104_0	is partially due fact run windows vista	windows vista	53--66	0	is partially due fact run windows vista	0.0
6	398_0	accordingly i decide never purchase another hp product five year old compaq last 5 year hard drive crash	hard drive	117--127	-1	year old compaq last 5 year hard drive crash	-1.0
7	2766_1	i think camera one requirement forget check specification one i purchase	specification	96--110	0	forget check specification	-1.0
8	2808_5	cords come right power plus cord come front headphone mic plus network connection left make messy setup cord go every direction	setup	138--143	-1	cord messy setup cord	-1.0
9	1727_0	the recent safari internet browser freak i use firefox instead	safari internet browser	30--53	-1	the recent safari internet browser freak	-1.0
10	1440_0	my last computer toshiba cost $ 400 work like charm many year	cost	29--33	1	last computer cost 400 many year	0.0
11	267_0	the machine bluray player book no mention connect hdtv	bluray player	18--31	0	bluray player book	0.0
12	2219_0	the touchpad intuitive much i never want use button click	touchpad	4--12	1	touchpad intuitive	0.0
13	2845_1	i buy laptop performance price ratio	price	51--56	1	laptop price ratio	0.0
14	1757_2	great laptop price work well action pack game	work	28--33	1	great price work game	1.0
15	667_0	the battery really long	battery	4--11	1	the battery really long	0.0
16	2034_0	i something else go wrong say good work order able buy warranty	warranty	101--109	-1	able buy warranty	0.0
17	2009_1	the battery never hold charge long one hour within two month stop hold charge ten minute	charge	27--33	-1	hold charge month stop hold charge	-1.0
18	2063_0	web access 3g network slow frustrating very disappointing	3g network	23--33	-1	access 3g network slow frustrating disappointing	-1.0
19	2142_0	everything mac wonderful take little use learn get use new system learn fast worth	system	100--106	0	little use use new system	0.0
20	3074_0	the screen bright keyboard nice	screen	4--10	1	the screen bright keyboard nice	1.0
21	1852_0	after say warranty	warranty	35--43	0	say warranty	0.0
22	3042_2	hard disk the new edition give hard disk space 500gb instead 320gb time teach never trust internal hard disk	internal hard disk	126--144	0	hard disk new edition give hard disk trust internal hard disk	1.0
23	2305_0	fall no cd drive find cheap also portable make best friend someone always look space	cd drive	37--45	-1	no cd drive find	-1.0
24	1370_0	when buy new hp computer dec 2008 want windows xp tell would cost extra $ 159 go vista	vista	133--138	0	go vista	0.0
25	130_0	realize problem brand	brand	48--53	-1	realize problem brand	-1.0
26	395_0	the computer two week late delivery hp forget complete required import paperwork	delivery	35--43	-1	week late delivery	0.0
27	773_0	i tire inept service	service	23--30	-1	tire inept service	0.0
28	2516_1	great pick portability affordability	affordability	31--44	1	pick portability affordability	0.0
29	99_0	after way many time send thing repair delivery service slow without laptop i no access internet thus no way track find i might hope see computer finally kick bucket 2 year	delivery service	59--75	-1	repair delivery service slow	0.0
30	1770_0	it far exceed expectation power storage ability	power	40--45	1	exceed expectation power storage	0.0
31	1187_0	another include program laughable chess game	include program	8--24	-1	another include program game	0.0
32	1376_1	it seem could update xp without create vista	vista	62--67	-1	update without create vista	-1.0
33	460_0	then 4 month charger stop work i force go buy new hardware keep computer run	charger	30--37	-1	charger stop	-1.0
34	2112_0	even warranty	warranty	12--20	0	even warranty	0.0
35	1710_0	the macbook also make well computer never get virus laptop run fast first day i buy	run	83--87	1	make laptop run buy	0.0
36	781_0	the dvd burner break burn 3 dvd time	dvd burner	4--14	-1	dvd burner break 3 dvd time	0.0
37	1372_3	we numerous problem vista adobe flash player quits uninstalled reinstall internet explore quits lose whatever work also windows update appear computer since get update probably 400 time update	windows update	215--229	-1	windows update appear get update probably update	0.0
38	387_0	the keyboard slick quiet not bulky like laptop i past	keyboard	4--12	1	keyboard slick	0.0
39	388_3	the processor quick effective i load webpage application	webpage	52--60	0	processor quick effective webpage application	1.0
40	2226_0	now i best world power ease mac	power	51--56	1	best world power ease	1.0
41	286_0	the display beyond horrible	display	4--11	-1	the display beyond horrible	-1.0
42	2644_2	it much easy navigate operating system find file run lot faster	navigate	23--31	1	it much easy navigate system find run	1.0
43	1186_0	and lot writing edit problem since no forward delete key	delete key	80--91	-1	edit since no forward delete key	-1.0
44	961_0	this time mouse pad right click key work	mouse pad	16--25	-1	this time mouse pad click	0.0
45	2071_1	so i call customer support good go safety feature not affect performance i choose hide message	performance	129--140	0	affect performance	0.0
46	2711_0	seems slow occasionally run many application ie internet tab program etc simultaneously	application	50--62	1	many application tab	0.0
47	2558_0	we figure everything his pc actually end cost $ 350 original mac	cost	57--64	-1	everything pc actually end cost mac	0.0
48	2752_1	i use external speaker sound good	sound	33--38	1	speaker sound good	1.0
49	1576_0	the display computer best i see long time battery life long continent	display	4--11	1	display computer	0.0
50	2435_0	i disappoint i realize keyboard light model	keyboard	44--52	-1	keyboard model	0.0
51	1399_0	graphic awful wireless switch top rather side i use side	graphic	4--12	-1	graphic awful wireless switch	-1.0
52	2159_0	the battery life also relatively good	battery life	4--16	1	the battery life also relatively good	1.0
53	2863_0	the price feature meet need	price	4--9	1	price feature	0.0
54	2594_0	it make computer much easy use navigate	use	36--39	1	make computer much easy use navigate	1.0
55	2336_0	i buy cordless mouse always take	cordless mouse	11--25	1	buy cordless mouse	0.0
56	1570_0	company provide ups shipping fast great	shipping	21--29	1	ups shipping fast great	1.0
57	1088_1	a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service	service	140--147	-1	of hours hours of service	0.0
58	1599_0	i not experience lot heat come however i would highly suggest purchase stand however due nature design macbook one large heat sink	stand	96--101	0	suggest purchase stand	0.0
