	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
0	2333_1	obvious one import featur comput human interfac	human interfac	69--84	0	interfac comput human
1	1805_1	good everi day comput web brows	everi day comput	9--28	1	brows comput good everi day
2	2782_2	keyboard alright plate around cheap plastic make hollow sound use mous command button	mous command button	115--136	-1	sound use make hollow mous command button
3	1385_0	again problem right speaker not work	right speaker	29--42	-1	again right work speaker not problem
4	1423_0	my problem dell custom servic	dell custom servic	20--41	-1	problem custom servic dell
5	104_0	is partial due fact run window vista	window vista	53--66	0	vista run window
6	398_0	accordingli i decid never purchas anoth hp product five year old compaq last 5 year hard drive crash	hard drive	117--127	-1	5 hard crash drive year
7	2766_1	i think camera one requir forgot check specif one i purchas	specif	96--110	0	check specif forgot
8	2808_5	cord come right power plu cord come front headphon mic plu network connect left make messi setup cord go everi direct	setup	138--143	-1	cord setup
9	1727_0	the recent safari internet browser freak i use firefox instead	safari internet browser	30--53	-1	freak safari internet the browser recent
10	1440_0	my last comput toshiba cost $ 400 work like charm mani year	cost	29--33	1	work year toshiba cost 400 mani
11	267_0	the machin bluray player book no mention connect hdtv	bluray player	18--31	0	player book bluray
12	2219_0	the touchpad intuit much i never want use button click	touchpad	4--12	1	touchpad intuit
13	2845_1	i bought laptop perform price ratio	price	51--56	1	price ratio
14	1757_2	great laptop price work well action pack game	work	28--33	1	price work game
15	667_0	the batteri realli long	batteri	4--11	1	batteri realli
16	2034_0	i someth els go wrong said good work order abl buy warranti	warranti	101--109	-1	warranti buy
17	2009_1	the batteri never held charg longer one hour within two month stop hold charg ten minut	charg	27--33	-1	longer stop held minut hold charg
18	2063_0	web access 3g network slow frustrat veri disappoint	3g network	23--33	-1	access web slow 3g network
19	2142_0	everyth mac wonder take littl use learn get use new system learn fast worth	system	100--106	0	new use system learn
20	3074_0	the screen bright keyboard nice	screen	4--10	1	screen keyboard the nice
21	1852_0	after said warranti	warranti	35--43	0	warranti said
22	3042_2	hard disk the new edit give hard disk space 500gb instead 320gb time taught never trust intern hard disk	intern hard disk	126--144	0	give edit hard intern taught disk
23	2305_0	fall no cd drive found cheap also portabl make best friend someon alway look space	cd drive	37--45	-1	found cd drive no
24	1370_0	when bought new hp comput dec 2008 want window xp told would cost extra $ 159 went vista	vista	133--138	0	went vista
25	130_0	realiz problem brand	brand	48--53	-1	brand realiz problem
26	395_0	the comput two week late deliveri hp forgot complet requir import paperwork	deliveri	35--43	-1	deliveri paperwork
27	773_0	i tire inept servic	servic	23--30	-1	servic inept tire
28	2516_1	great pick portabl afford	afford	31--44	1	afford portabl
29	99_0	after way mani time send thing repair deliveri servic slow without laptop i no access internet thu no way track find i might hope see comput final kick bucket 2 year	deliveri servic	59--75	-1	deliveri repair slow servic send thing
30	1770_0	it far exceed expect power storag abil	power	40--45	1	power abil
31	1187_0	anoth includ program laughabl chess game	includ program	8--24	-1	game program includ
32	1376_1	it seem could updat xp done without creat vista	vista	62--67	-1	vista without done creat
33	460_0	then 4 month charger stop work i forc go buy new hardwar keep comput run	charger	30--37	-1	charger stop
34	2112_0	even warranti	warranti	12--20	0	even warranti
35	1710_0	the macbook also made better comput never got viru laptop run fast first day i bought	run	83--87	1	viru got laptop run
36	781_0	the dvd burner broke burn 3 dvd time	dvd burner	4--14	-1	dvd the burner broke time
37	1372_3	we numer problem vista adob flash player quit uninstal reinstal internet explor quit lose whatev work also window updat appear comput sinc got updat probabl 400 time updat	window updat	215--229	-1	appear time window 400 got updat probabl
38	387_0	the keyboard slick quiet not bulki like laptop i past	keyboard	4--12	1	bulki the keyboard
39	388_3	the processor quick effect i load webpag applic	webpag	52--60	0	webpag applic
40	2226_0	now i best world power eas mac	power	51--56	1	mac power
41	286_0	the display beyond horribl	display	4--11	-1	horribl the display
42	2644_2	it much easier navig oper system find file run lot faster	navig	23--31	1	system navig
43	1186_0	and lot write edit problem sinc no forward delet key	delet key	80--91	-1	edit delet key
44	961_0	thi time mous pad right click key work	mous pad	16--25	-1	work mous pad thi time click
45	2071_1	so i call custom support good went safeti featur not affect perform i chose hide messag	perform	129--140	0	perform affect chose
46	2711_0	seem slow occasion run mani applic ie internet tab program etc simultan	applic	50--62	1	applic simultan
47	2558_0	we figur everyth hi pc actual end cost $ 350 origin mac	cost	57--64	-1	pc mac cost end 350
48	2752_1	i use extern speaker sound good	sound	33--38	1	sound good
49	1576_0	the display comput best i seen long time batteri life long contin	display	4--11	1	comput display
50	2435_0	i disappoint i realiz keyboard light model	keyboard	44--52	-1	i disappoint model realiz keyboard
51	1399_0	graphic aw wireless switch top rather side i use side	graphic	4--12	-1	wireless switch graphic
52	2159_0	the batteri life also rel good	batteri life	4--16	1	batteri also life good the
53	2863_0	the price featur met need	price	4--9	1	price featur
54	2594_0	it made comput much easier use navig	use	36--39	1	use navig
55	2336_0	i bought cordless mous alway take	cordless mous	11--25	1	mous take cordless
56	1570_0	compani provid up ship fast great	ship	21--29	1	provid ship
57	1088_1	a second problem involv the batteri which is advertis as have a storag life of 11 hour but when fulli charg show onli 7 hour of servic	servic	140--147	-1	servic hour
58	1599_0	i not experi lot heat come howev i would highli suggest purchas stand howev due natur design macbook one larg heat sink	stand	96--101	0	suggest purchas stand macbook
59	1969_0	i also like acer arcad realli two thing i like laptop	acer arcad	16--27	1	acer arcad realli
