	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
0	3121_0	but staff horribl u	staff	8--13	-1	horribl staff
1	2777_0	to complet fair redeem factor food averag make defici teodora	food	57--61	1	fair food redeem factor averag complet
2	1634_0	the food uniformli except capabl kitchen proudli whip whatev feel like eat whether menu not	food	4--8	1	food uniformli
3	1634_1	the food uniformli except capabl kitchen proudli whip whatev feel like eat whether menu not	kitchen	55--62	1	whatev kitchen
4	1634_2	the food uniformli except capabl kitchen proudli whip whatev feel like eat whether menu not	menu	141--145	0	not menu whether
5	2846_0	not food outstand littl perk great	food	17--21	1	food not outstand
6	2846_1	not food outstand littl perk great	perk	51--56	1	perk great littl
7	1458_0	our agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat	orrechiet sausag chicken	27--62	1	chicken orrechiet sausag half
8	1458_1	our agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat	waiter	76--83	1	waiter half
9	1458_2	our agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat	meat	152--157	0	sampl meat get
10	1458_3	our agre favorit orrechiet sausag chicken usual waiter kind enough split dish half get sampl meat	dish	113--117	0	dish half
11	3161_0	the bagel outstand tast terrif textur chewi yet not gummi	bagel	4--10	1	bagel terrif
12	2391_0	nevertheless food pretti good	food	17--21	1	food pretti
13	296_0	they not mayonnais forget toast leav ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch	toast	41--46	-1	toast chees
14	296_1	they not mayonnais forget toast leav ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch	mayonnais	18--28	-1	not omelet they mayonnais
15	296_2	they not mayonnais forget toast leav ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch	bacon	126--131	-1	cook hot temperatur bacon
16	296_3	they not mayonnais forget toast leav ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch	chees	73--79	0	toast ingredi forget chees leav omelet ie
17	296_4	they not mayonnais forget toast leav ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch	ingredi	57--68	-1	ingredi chees
18	296_5	they not mayonnais forget toast leav ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch	plate	170--175	0	touch plate
19	296_6	they not mayonnais forget toast leav ingredi ie chees omelet hot temperatur bacon cook crumbl plate touch	omelet	86--92	0	cook chees omelet mayonnais
20	1793_0	it take half hour get check perfect sinc could sit drink talk	drink	82--88	0	drink talk
21	1793_1	it take half hour get check perfect sinc could sit drink talk	check	32--37	0	sinc check sit
22	2200_0	the design atmospher good	design	4--10	1	the design atmospher
23	2200_1	the design atmospher good	atmospher	15--25	1	good design atmospher
24	3195_0	he visit thailand quit expert cuisin	cuisin	51--58	1	quit expert cuisin
25	3359_0	the pizza best like thin crust pizza	pizza	4--9	1	like crust thin the best pizza
26	3359_1	the pizza best like thin crust pizza	thin crust pizza	34--52	0	like crust thin the best pizza
27	3534_0	all money go interior decor none go chef	interior decor	28--47	1	interior none decor
28	3534_1	all money go interior decor none go chef	chef	72--77	-1	go chef
29	1407_0	the seat uncomfort sit wall wooden bench	seat	4--9	-1	uncomfort seat
