	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
0	2333_1	obviously one of the most important feature of any computer be the human interface	human interface	69--84	0	obviously one the be the human interface	0.0
1	1805_1	good for every day compute and web browsing	every day compute	9--28	1	good for every day compute and browsing	1.0
2	2782_2	while the keyboard itself be alright the plate around it be cheap plastic and make a hollow sound when use the mouse command button	mouse command button	115--136	-1	the the use the mouse command button	0.0
3	1385_0	again the same problem the right speaker do not work	right speaker	29--42	-1	the same problem the right speaker	-1.0
4	1423_0	my problem be with dell customer service	dell customer service	20--41	-1	problem be with dell customer service	-1.0
5	104_0	is this partially due to the fact that it be run windows vista	windows vista	53--66	0	run windows vista	0.0
6	398_0	accordingly i have decide to never purchase another hp product my five year old compaq last 5 year before the hard drive crash	hard drive	117--127	-1	hard drive crash	-1.0
7	2766_1	i do think it have a camera because that be one of my requirement but forget to check in the specification on this one before i purchase	specification	96--110	0	one check in the specification one	0.0
8	2808_5	cords come out the right for power plus cord come out front for headphone mic plus network connection on left make for a very messy setup with cord go every direction	setup	138--143	-1	cord a very messy setup cord go	-1.0
9	1727_0	the most recent be that my safari internet browser be freak out on me but i have just be use firefox instead	safari internet browser	30--53	-1	my safari internet browser freak	-1.0
10	1440_0	my last computer a toshiba cost only $ 400 and work like a charm for many year	cost	29--33	1	last computer cost $ many year	0.0
11	267_0	the machine have a bluray player the book have no mention of it or how to connect it to your hdtv	bluray player	18--31	0	have a bluray player have	0.0
12	2219_0	the touchpad be very intuitive so much so that i never want to use button to click again	touchpad	4--12	1	the touchpad be very intuitive so so	0.0
13	2845_1	i buy this laptop because of the performance to price ratio	price	51--56	1	price ratio	0.0
14	1757_2	great laptop for the price work well with action pack game	work	28--33	1	laptop work well game	1.0
15	667_0	the battery be really long	battery	4--11	1	the battery be really long	0.0
16	2034_0	i have something else go wrong and they say it have to be in good work order to be able to buy the warranty	warranty	101--109	-1	able buy the warranty	0.0
