	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
0	2333_1	obvious one of the most import featur of ani comput be the human interfac	human interfac	69--84	0	obvious one the be the human interfac	0.0
1	1805_1	good for everi day comput and web brows	everi day comput	9--28	1	good for everi day comput and brows	1.0
2	2782_2	while the keyboard itself be alright the plate around it be cheap plastic and make a hollow sound when use the mous command button	mous command button	115--136	-1	the the use the mous command button	0.0
3	1385_0	again the same problem the right speaker do not work	right speaker	29--42	-1	the same problem the right speaker	-1.0
4	1423_0	my problem be with dell custom servic	dell custom servic	20--41	-1	problem be with dell custom servic	-1.0
5	104_0	is thi partial due to the fact that it be run window vista	window vista	53--66	0	run window vista	0.0
6	398_0	accordingli i have decid to never purchas anoth hp product my five year old compaq last 5 year befor the hard drive crash	hard drive	117--127	-1	hard drive crash	-1.0
7	2766_1	i do think it have a camera becaus that be one of my requir but forget to check in the specif on thi one befor i purchas	specif	96--110	0	one check in the specif one	0.0
8	2808_5	cord come out the right for power plu cord come out front for headphon mic plu network connect on left make for a veri messi setup with cord go everi direct	setup	138--143	-1	cord a veri messi setup cord go	-1.0
9	1727_0	the most recent be that my safari internet browser be freak out on me but i have just be use firefox instead	safari internet browser	30--53	-1	my safari internet browser freak	-1.0
10	1440_0	my last comput a toshiba cost onli $ 400 and work like a charm for mani year	cost	29--33	1	last comput cost $ mani year	0.0
11	267_0	the machin have a bluray player the book have no mention of it or how to connect it to your hdtv	bluray player	18--31	0	have a bluray player have	0.0
12	2219_0	the touchpad be veri intuit so much so that i never want to use button to click again	touchpad	4--12	1	the touchpad be veri intuit so so	0.0
13	2845_1	i buy thi laptop becaus of the perform to price ratio	price	51--56	1	price ratio	0.0
14	1757_2	great laptop for the price work well with action pack game	work	28--33	1	laptop work well game	1.0
15	667_0	the batteri be realli long	batteri	4--11	1	the batteri be realli long	0.0
16	2034_0	i have someth els go wrong and they say it have to be in good work order to be abl to buy the warranti	warranti	101--109	-1	abl buy the warranti	0.0
17	2009_1	the batteri never hold a charg long than one hour and within two month stop hold a charg for more than ten minut	charg	27--33	-1	hold a charg long hour and month hold a charg minut	0.0
18	2063_0	web access through the 3g network be so slow it s veri frustrat and veri disappoint	3g network	23--33	-1	access through the 3g network be so slow	0.0
19	2142_0	everyth about a mac be wonder it take a littl use to learn and get use to the new system but you will learn fast and it all worth it	system	100--106	0	wonder to learn to the new system learn	1.0
20	3074_0	the screen be bright and the keyboard be nice	screen	4--10	1	the screen be bright and keyboard be nice	1.0
21	1852_0	after that the say it be under warranti	warranti	35--43	0	say it be under warranti	0.0
22	3042_2	hard disk the new edit give you more hard disk space 500gb instead of 320gb but time have teach me never to trust an intern hard disk	intern hard disk	126--144	0	hard disk new edit give more hard disk have trust an intern hard disk	1.0
23	2305_0	the onli down fall be that it have no cd drive but i find that they be veri cheap to by and also veri portabl make thi the best friend to someon who be alway look for more space then they have	cd drive	37--45	-1	have no cd drive have	-1.0
24	1370_0	when we buy our new hp comput in dec of 2008 we want window xp but be tell it would cost an extra $ 159 so we go with vista	vista	133--138	0	go with vista	0.0
25	130_0	but now i have realiz it a problem with thi brand	brand	48--53	-1	problem with thi brand	-1.0
26	395_0	the comput be two week late in deliveri becaus hp forget to complet the requir import paperwork	deliveri	35--43	-1	comput be week late in deliveri forget	-1.0
27	773_0	i m tire of the inept servic	servic	23--30	-1	tire of the inept servic	0.0
28	2516_1	great pick for portabl and afford	afford	31--44	1	portabl afford	0.0
29	99_0	after way too mani time send the thing in for repair deliveri servic be slow and without the laptop i have no access to the internet and thu no way of track it to find out when i might hope to see my comput again it final kick the bucket after just over 2 year	deliveri servic	59--75	-1	thing in for repair deliveri servic be slow	0.0
30	1770_0	it have far exceed my expect for power storag and abil	power	40--45	1	exceed for power storag and abil	1.0
31	1187_0	anoth includ program that be laughabl be the chess game	includ program	8--24	-1	anoth includ program that be laughabl be game	1.0
32	1376_1	it seem they could have updat xp and do without creat vista	vista	62--67	-1	do without creat vista	-1.0
33	460_0	then after 4 or so month the charger stop work so i be forc to go out and buy new hardwar just to keep thi comput run	charger	30--37	-1	charger stop	-1.0
34	2112_0	even out of warranti	warranti	12--20	0	out of warranti	0.0
35	1710_0	the macbook be also make well my comput have never get a viru and the laptop run just as fast a the first day i buy it	run	83--87	1	be laptop run fast	0.0
36	781_0	the dvd burner break after burn 3 dvd d dure that time	dvd burner	4--14	-1	the dvd burner break dvd d	0.0
37	1372_3	we have have numer problem with vista such a adob flash player just quit and have to be uninstal and then reinstal internet explor just quit and you lose whatev you be work on also the same window updat have appear on thi comput sinc we get it and have be updat probabl 400 time the same updat	window updat	215--229	-1	have have and have to be uninstal and then reinstal and be work on also the same window updat have appear on and have be updat time the same updat	0.0
38	387_0	the keyboard be slick and quiet and not bulki like some other laptop i have have in the past	keyboard	4--12	1	the keyboard be slick and quiet and not bulki other laptop have have	0.0
39	388_3	the processor be veri quick and effect a i load webpag and applic	webpag	52--60	0	processor be veri quick and effect a i load webpag and applic	1.0
40	2226_0	now i have the best of both world with all of the power and eas of the mac	power	51--56	1	the of all of the power and eas of the mac	1.0
41	286_0	the display be beyond horribl	display	4--11	-1	the display be beyond horribl	-1.0
42	2644_2	it s so much easi to navig through the oper system to find file and it run a lot faster	navig	23--31	1	it s so much easi to navig system to find and run	1.0
43	1186_0	and if you do a lot of write edit be a problem sinc there be no forward delet key	delet key	80--91	-1	be be no forward delet key	-1.0
44	961_0	thi time the mous pad and right click key wouldn t work	mous pad	16--25	-1	time the mous pad and click key work	0.0
45	2071_1	so i call custom support which be good too and they go through it and it be just a safeti featur and it do not affect perform at all i just choos to hide the messag	perform	129--140	0	affect perform	0.0
46	2711_0	seem to slow down occasion but can run mani applic ie internet tab program etc simultan	applic	50--62	1	mani applic tab	0.0
47	2558_0	we figur that after everyth hi pc actual end up cost $ 350 more than my origin mac	cost	57--64	-1	end cost	0.0
48	2752_1	i be use the extern speaker sound be good	sound	33--38	1	be use the extern speaker sound be good	1.0
49	1576_0	the display on thi comput be the best i ve see in a veri long time the batteri life be veri long and veri contin	display	4--11	1	the display comput best	1.0
50	2435_0	i be disappoint when i realiz that the keyboard doesn t light up on thi model	keyboard	44--52	-1	keyboard t	0.0
51	1399_0	the graphic be aw and the wireless switch it at the top rather than the side which i be use to it be on the side	graphic	4--12	-1	the graphic be aw and the switch the the be be the	-1.0
52	2159_0	the batteri life be also rel good	batteri life	4--16	1	the batteri life be also rel good	1.0
53	2863_0	the price and featur more than meet my need	price	4--9	1	the price and featur meet	0.0
54	2594_0	it make the comput much easi to use and navig	use	36--39	1	make comput much easi to use and navig	1.0
55	2336_0	i buy a cordless mous for it but don t alway take it out	cordless mous	11--25	1	buy a cordless mous it it	0.0
56	1570_0	compani provid up ship fast great	ship	21--29	1	up ship fast great	1.0
57	1088_1	a second problem involv the batteri which is advertis as have a storag life of 11 hour but when fulli charg show onli 7 hour of servic	servic	140--147	-1	of hour hour of servic	0.0
58	1599_0	i do not experi a lot of heat come out of it howev i would highli suggest purchas a stand howev due to the natur of the design of the macbook a it be one veri larg heat sink	stand	96--101	0	a purchas a stand a	0.0
59	1969_0	i also like the acer arcad but these be realli the onli two thing i like about thi laptop	acer arcad	16--27	1	like the acer arcad the like	1.0
