	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
0	3121_0	but the staff be so horrible to u	staff	8--13	-1	the staff horrible
1	2777_0	to be completely fair the only redeeming factor be the food which be above average but couldn t make up for all the other deficiency of	food	57--61	1	be fair food t factor the
2	1634_0	the food be uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether it s on the menu or not	food	4--8	1	food be the
3	1634_1	the food be uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether it s on the menu or not	kitchen	55--62	1	a capable exceptional with whip kitchen
4	1634_2	the food be uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether it s on the menu or not	menu	141--145	0	on eating whether menu it s not the or
5	2846_0	not only be the food outstanding but the little perk be great	food	17--21	1	be great outstanding food only the
6	2846_1	not only be the food outstanding but the little perk be great	perk	51--56	1	perk little outstanding
7	1458_0	our agree favorite be the orrechiete with sausage and chicken usually the waiter be kind enough to split the dish in half so you get to sample both meat	orrechiete with sausage and chicken	27--62	1	and be sausage waiter favorite kind orrechiete the with chicken
8	1458_1	our agree favorite be the orrechiete with sausage and chicken usually the waiter be kind enough to split the dish in half so you get to sample both meat	waiter	76--83	1	waiter usually chicken the
9	1458_2	our agree favorite be the orrechiete with sausage and chicken usually the waiter be kind enough to split the dish in half so you get to sample both meat	meat	152--157	0	sample both meat
10	1458_3	our agree favorite be the orrechiete with sausage and chicken usually the waiter be kind enough to split the dish in half so you get to sample both meat	dish	113--117	0	dish the split half
11	3161_0	the bagels have an outstanding taste with a terrific texture both chewy yet not gummy	bagels	4--10	1	bagels the have
12	2391_0	nevertheless the food itself be pretty good	food	17--21	1	food nevertheless the good
13	296_0	they do not have mayonnaise forget our toast leave out ingredient ie cheese in an omelet below hot temperature and the bacon be so over cook it crumble on the plate when you touch it	toast	41--46	-1	leave toast
14	296_1	they do not have mayonnaise forget our toast leave out ingredient ie cheese in an omelet below hot temperature and the bacon be so over cook it crumble on the plate when you touch it	mayonnaise	18--28	-1	mayonnaise forget
15	296_2	they do not have mayonnaise forget our toast leave out ingredient ie cheese in an omelet below hot temperature and the bacon be so over cook it crumble on the plate when you touch it	bacon	126--131	-1	the bacon temperature
16	296_3	they do not have mayonnaise forget our toast leave out ingredient ie cheese in an omelet below hot temperature and the bacon be so over cook it crumble on the plate when you touch it	cheese	73--79	0	cheese forget temperature omelet out ie ingredient
17	296_4	they do not have mayonnaise forget our toast leave out ingredient ie cheese in an omelet below hot temperature and the bacon be so over cook it crumble on the plate when you touch it	ingredient	57--68	-1	cheese ingredient
18	296_5	they do not have mayonnaise forget our toast leave out ingredient ie cheese in an omelet below hot temperature and the bacon be so over cook it crumble on the plate when you touch it	plate	170--175	0	plate the on crumble
19	296_6	they do not have mayonnaise forget our toast leave out ingredient ie cheese in an omelet below hot temperature and the bacon be so over cook it crumble on the plate when you touch it	omelet	86--92	0	cheese an omelet in
20	1793_0	it take half an hour to get our check which be perfect since we could sit have drink and talk	drink	82--88	0	drink have
21	1793_1	it take half an hour to get our check which be perfect since we could sit have drink and talk	check	32--37	0	perfect our check get
22	2200_0	the design and atmosphere be just as good	design	4--10	1	and the good design atmosphere
23	2200_1	the design and atmosphere be just as good	atmosphere	15--25	1	atmosphere design
24	3195_0	he have visit and be quite expert on the cuisine	cuisine	51--58	1	cuisine the expert on
25	3359_0	the pizza be the best if you like thin crust pizza	pizza	4--9	1	like crust thin the best pizza
26	3359_1	the pizza be the best if you like thin crust pizza	thin crust pizza	34--52	0	like crust thin the best pizza
27	3534_0	all the money go into the interior decoration none of it go to the chef	interior decoration	28--47	1	interior decoration none
28	3534_1	all the money go into the interior decoration none of it go to the chef	chef	72--77	-1	go chef the to
29	1407_0	the seat be uncomfortable if you be sit against the wall on wooden bench	seat	4--9	-1	the uncomfortable seat
30	565_0	i ask for seltzer with lime no ice	seltzer with lime	12--29	0	for ice seltzer ask with lime
31	675_0	t go alone even two people isn t enough for the whole experience with pickle and a selection of meat and seafood	pickle	77--84	1	with pickle experience
34	2227_1	my suggestion be to eat family style because you ll want to try the other dish	eat family style	20--36	1	be style family to want eat
35	3367_0	best of all be the warm vibe the owner be super friendly and service be fast	vibe	24--28	1	be vibe warm the friendly best
36	3367_1	best of all be the warm vibe the owner be super friendly and service be fast	owner	34--39	1	owner the friendly
37	3367_2	best of all be the warm vibe the owner be super friendly and service be fast	service	62--69	1	fast friendly service
39	270_0	from the incredible food to the warm atmosphere to the friendly service this downtown neighborhood spot doesn t miss a beat	food	20--24	1	atmosphere from incredible food the miss
40	270_1	from the incredible food to the warm atmosphere to the friendly service this downtown neighborhood spot doesn t miss a beat	atmosphere	38--48	1	atmosphere service food to warm the
41	270_2	from the incredible food to the warm atmosphere to the friendly service this downtown neighborhood spot doesn t miss a beat	service	66--73	1	to atmosphere the service friendly
42	638_0	great food at price make for an evening that can t be beat	food	6--10	1	food make price great
43	638_1	great food at price make for an evening that can t be beat	price	25--31	1	food price at
44	388_0	this little place have a cute interior decor and affordable city price	interior decor	29--43	1	a cute decor and price have interior
45	388_1	this little place have a cute interior decor and affordable city price	price	64--70	1	affordable city decor price
46	3373_0	two word wine	wine	16--20	1	word wine
47	425_0	the price be reasonable although the service be poor	price	4--9	1	price the reasonable
48	425_1	the price be reasonable although the service be poor	service	37--44	-1	poor the service
49	3192_0	the quantity be also very good you will come out satisfied	quantity	4--12	1	the good quantity
51	391_1	i stumble upon this second floor walk up two fridays ago when i be with two friend in town from serious sushi lover we sit at the sushi bar to be close to the action	sushi bar	146--155	0	bar sit sushi at lover the
52	2384_0	the fried rice be amaze here	fried rice	4--14	1	amaze the rice fried
53	2962_0	three course choice include excellent mussel puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that be out of this world	mussel	42--49	1	puff mussel
54	2962_1	three course choice include excellent mussel puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that be out of this world	puff pastry goat cheese	51--74	1	and cheese dressing salad poivre excellent pastry mussel puff include goat
55	2962_2	three course choice include excellent mussel puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that be out of this world	salad with a delicious dressing	79--110	1	a cheese and salad au delicious dressing with
56	2962_3	three course choice include excellent mussel puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that be out of this world	hanger steak au poivre	118--140	1	a cheese hanger world poivre au dressing puff steak
57	2962_4	three course choice include excellent mussel puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that be out of this world	course	6--13	0	course choice
58	3404_0	it s a perfect place to have a amazing indian food	indian food	40--51	1	food a amazing indian have
