	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
0	3121_0	but the staff was so horrible to us	staff	8--13	-1	the staff horrible
1	2777_0	to be completely fair the only redeeming factor was the food which was above average but couldn t make up for all the other deficiencies of teodora	food	57--61	1	fair food average factor the was
2	1634_0	the food is uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether it s on the menu or not	food	4--8	1	food is the
3	1634_1	the food is uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether it s on the menu or not	kitchen	55--62	1	a capable exceptional with whip kitchen
4	1634_2	the food is uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether it s on the menu or not	menu	141--145	0	on eating whether menu it s not the or
5	2846_0	not only was the food outstanding but the little perks were great	food	17--21	1	food the outstanding
6	2846_1	not only was the food outstanding but the little perks were great	perks	51--56	1	the great little perks
7	1458_0	our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats	orrechiete with sausage and chicken	27--62	1	and sausage is favorite kind usually orrechiete the with chicken
8	1458_1	our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats	waiters	76--83	1	kind the waiters
9	1458_2	our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats	meats	152--157	0	sample both meats
10	1458_3	our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats	dish	113--117	0	dish the split
11	3161_0	the bagels have an outstanding taste with a terrific texture both chewy yet not gummy	bagels	4--10	1	bagels the have
12	2391_0	nevertheless the food itself is pretty good	food	17--21	1	food nevertheless the good
13	296_0	they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it	toast	41--46	-1	toast our left
14	296_1	they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it	mayonnaise	18--28	-1	mayonnaise forgot
15	296_2	they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it	bacon	126--131	-1	cooked the bacon
16	296_3	they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it	cheese	73--79	0	cheese ingredients ie omelet left
