	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
0	3121_0	but staff horrible us	staff	8--13	-1	horrible but staff
1	2777_0	to completely fair redeeming factor food average make deficiencies teodora	food	57--61	1	food average
2	1634_0	the food uniformly exceptional capable kitchen proudly whip whatever feel like eating whether menu not	food	4--8	1	food not the uniformly
3	1634_1	the food uniformly exceptional capable kitchen proudly whip whatever feel like eating whether menu not	kitchen	55--62	1	capable exceptional uniformly kitchen
4	1634_2	the food uniformly exceptional capable kitchen proudly whip whatever feel like eating whether menu not	menu	141--145	0	whether menu eating
5	2846_0	not food outstanding little perks great	food	17--21	1	food great outstanding
6	2846_1	not food outstanding little perks great	perks	51--56	1	perks little outstanding
7	1458_0	our agreed favorite orrechiete sausage chicken usually waiters kind enough split dish half get sample meats	orrechiete sausage chicken	27--62	1	sausage agreed favorite enough split orrechiete our chicken
8	1458_1	our agreed favorite orrechiete sausage chicken usually waiters kind enough split dish half get sample meats	waiters	76--83	1	kind waiters
9	1458_2	our agreed favorite orrechiete sausage chicken usually waiters kind enough split dish half get sample meats	meats	152--157	0	sample meats get
10	1458_3	our agreed favorite orrechiete sausage chicken usually waiters kind enough split dish half get sample meats	dish	113--117	0	dish half
11	3161_0	the bagels outstanding taste terrific texture chewy yet not gummy	bagels	4--10	1	taste bagels
12	2391_0	nevertheless food pretty good	food	17--21	1	food nevertheless good
13	296_0	they not mayonnaise forgot toast left ingredients ie cheese omelet hot temperatures bacon cooked crumbled plate touched	toast	41--46	-1	toast left
14	296_1	they not mayonnaise forgot toast left ingredients ie cheese omelet hot temperatures bacon cooked crumbled plate touched	mayonnaise	18--28	-1	not mayonnaise they forgot
15	296_2	they not mayonnaise forgot toast left ingredients ie cheese omelet hot temperatures bacon cooked crumbled plate touched	bacon	126--131	-1	cheese bacon cooked hot crumbled temperatures omelet
16	296_3	they not mayonnaise forgot toast left ingredients ie cheese omelet hot temperatures bacon cooked crumbled plate touched	cheese	73--79	0	cheese bacon
17	296_4	they not mayonnaise forgot toast left ingredients ie cheese omelet hot temperatures bacon cooked crumbled plate touched	ingredients	57--68	-1	ie ingredients
18	296_5	they not mayonnaise forgot toast left ingredients ie cheese omelet hot temperatures bacon cooked crumbled plate touched	plate	170--175	0	plate touched
19	296_6	they not mayonnaise forgot toast left ingredients ie cheese omelet hot temperatures bacon cooked crumbled plate touched	omelet	86--92	0	bacon omelet
20	1793_0	it took half hour get check perfect since could sit drinks talk	drinks	82--88	0	talk drinks
21	1793_1	it took half hour get check perfect since could sit drinks talk	check	32--37	0	check sit
22	2200_0	the design atmosphere good	design	4--10	1	atmosphere design
23	2200_1	the design atmosphere good	atmosphere	15--25	1	atmosphere good design the
24	3195_0	he visited thailand quite expert cuisine	cuisine	51--58	1	visited thailand expert cuisine
25	3359_0	the pizza best like thin crusted pizza	pizza	4--9	1	like thin crusted the best pizza
26	3359_1	the pizza best like thin crusted pizza	thin crusted pizza	34--52	0	like thin crusted the best pizza
27	3534_0	all money went interior decoration none went chefs	interior decoration	28--47	1	interior decoration none
28	3534_1	all money went interior decoration none went chefs	chefs	72--77	-1	went chefs
29	1407_0	the seats uncomfortable sitting wall wooden benches	seats	4--9	-1	the uncomfortable seats
30	565_0	i asked seltzer lime no ice	seltzer lime	12--29	0	seltzer asked ice lime
31	675_0	don go alone even two people enough whole experience pickles selection meats seafoods	pickles	77--84	1	whole experience enough go pickles seafoods
32	675_1	don go alone even two people enough whole experience pickles selection meats seafoods	selection meats seafoods	91--122	1	pickles selection seafoods meats
33	2227_0	my suggestion eat family style want try dishes	dishes	74--80	0	try dishes
