	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
0	3121_0	but the staff be so horribl to u	staff	8--13	-1	horribl the staff
1	2777_0	to be complet fair the onli redeem factor be the food which be abov averag but couldn t make up for all the other defici of teodora	food	57--61	1	food be redeem the averag
2	1634_0	the food be uniformli except with a veri capabl kitchen which will proudli whip up whatev you feel like eat whether it s on the menu or not	food	4--8	1	food the uniformli
3	1634_1	the food be uniformli except with a veri capabl kitchen which will proudli whip up whatev you feel like eat whether it s on the menu or not	kitchen	55--62	1	a uniformli except capabl veri with whip kitchen
4	1634_2	the food be uniformli except with a veri capabl kitchen which will proudli whip up whatev you feel like eat whether it s on the menu or not	menu	141--145	0	on whether menu it or s not the eat
5	2846_0	not onli be the food outstand but the littl perk be great	food	17--21	1	be onli food great outstand not the
6	2846_1	not onli be the food outstand but the littl perk be great	perk	51--56	1	perk the outstand littl but
7	1458_0	our agre favorit be the orrechiet with sausag and chicken usual the waiter be kind enough to split the dish in half so you get to sampl both meat	orrechiet with sausag and chicken	27--62	1	and be kind sausag favorit orrechiet the with chicken
8	1458_1	our agre favorit be the orrechiet with sausag and chicken usual the waiter be kind enough to split the dish in half so you get to sampl both meat	waiter	76--83	1	waiter kind the usual
9	1458_2	our agre favorit be the orrechiet with sausag and chicken usual the waiter be kind enough to split the dish in half so you get to sampl both meat	meat	152--157	0	both sampl meat
10	1458_3	our agre favorit be the orrechiet with sausag and chicken usual the waiter be kind enough to split the dish in half so you get to sampl both meat	dish	113--117	0	dish the split
11	3161_0	the bagel have an outstand tast with a terrif textur both chewi yet not gummi	bagel	4--10	1	bagel the have
12	2391_0	nevertheless the food itself be pretti good	food	17--21	1	food nevertheless the good
13	296_0	they do not have mayonnais forget our toast leav out ingredi ie chees in an omelet below hot temperatur and the bacon be so over cook it crumbl on the plate when you touch it	toast	41--46	-1	toast our leav
14	296_1	they do not have mayonnais forget our toast leav out ingredi ie chees in an omelet below hot temperatur and the bacon be so over cook it crumbl on the plate when you touch it	mayonnais	18--28	-1	forget mayonnais
15	296_2	they do not have mayonnais forget our toast leav out ingredi ie chees in an omelet below hot temperatur and the bacon be so over cook it crumbl on the plate when you touch it	bacon	126--131	-1	the temperatur bacon
16	296_3	they do not have mayonnais forget our toast leav out ingredi ie chees in an omelet below hot temperatur and the bacon be so over cook it crumbl on the plate when you touch it	chees	73--79	0	ingredi ie chees leav omelet
17	296_4	they do not have mayonnais forget our toast leav out ingredi ie chees in an omelet below hot temperatur and the bacon be so over cook it crumbl on the plate when you touch it	ingredi	57--68	-1	ingredi chees
18	296_5	they do not have mayonnais forget our toast leav out ingredi ie chees in an omelet below hot temperatur and the bacon be so over cook it crumbl on the plate when you touch it	plate	170--175	0	crumbl the on plate
19	296_6	they do not have mayonnais forget our toast leav out ingredi ie chees in an omelet below hot temperatur and the bacon be so over cook it crumbl on the plate when you touch it	omelet	86--92	0	chees an omelet in
20	1793_0	it take half an hour to get our check which be perfect sinc we could sit have drink and talk	drink	82--88	0	drink have
21	1793_1	it take half an hour to get our check which be perfect sinc we could sit have drink and talk	check	32--37	0	perfect our check get
22	2200_0	the design and atmospher be just as good	design	4--10	1	and the good design atmospher
23	2200_1	the design and atmospher be just as good	atmospher	15--25	1	design atmospher
24	3195_0	he have visit thailand and be quit expert on the cuisin	cuisin	51--58	1	quit the on cuisin
25	3359_0	the pizza be the best if you like thin crust pizza	pizza	4--9	1	like crust thin the best pizza
26	3359_1	the pizza be the best if you like thin crust pizza	thin crust pizza	34--52	0	like crust thin the best pizza
27	3534_0	all the money go into the interior decor none of it go to the chef	interior decor	28--47	1	interior none decor
28	3534_1	all the money go into the interior decor none of it go to the chef	chef	72--77	-1	go chef the to
29	1407_0	the seat be uncomfort if you be sit against the wall on wooden bench	seat	4--9	-1	the uncomfort seat
30	565_0	i ask for seltzer with lime no ice	seltzer with lime	12--29	0	for ice seltzer ask with lime
31	675_0	don t go alon even two peopl isn t enough for the whole experi with pickl and a select of meat and seafood	pickl	77--84	1	pickl and with t select
32	675_1	don t go alon even two peopl isn t enough for the whole experi with pickl and a select of meat and seafood	select of meat and seafood	91--122	1	and a meat of seafood pickl select
33	2227_0	my suggest be to eat famili style becaus you ll want to tri the other dish	dish	74--80	0	tri dish the other
34	2227_1	my suggest be to eat famili style becaus you ll want to tri the other dish	eat famili style	20--36	1	be style becaus to famili eat
35	3367_0	best of all be the warm vibe the owner be super friendli and servic be fast	vibe	24--28	1	be vibe friendli warm the best
36	3367_1	best of all be the warm vibe the owner be super friendli and servic be fast	owner	34--39	1	owner the friendli
37	3367_2	best of all be the warm vibe the owner be super friendli and servic be fast	servic	62--69	1	servic friendli fast
38	2191_0	fan s get a great concept but a littl rough on the deliveri	deliveri	53--61	-1	deliveri on rough the
39	270_0	from the incred food to the warm atmospher to the friendli servic thi downtown neighborhood spot doesn t miss a beat	food	20--24	1	from atmospher incred food t the miss
40	270_1	from the incred food to the warm atmospher to the friendli servic thi downtown neighborhood spot doesn t miss a beat	atmospher	38--48	1	food to the warm atmospher
41	270_2	from the incred food to the warm atmospher to the friendli servic thi downtown neighborhood spot doesn t miss a beat	servic	66--73	1	servic t
42	638_0	great food at reason price make for an even that can t be beat	food	6--10	1	food make price great
43	638_1	great food at reason price make for an even that can t be beat	price	25--31	1	food price reason at
44	388_0	thi littl place have a cute interior decor and afford citi price	interior decor	29--43	1	a cute decor interior have
45	388_1	thi littl place have a cute interior decor and afford citi price	price	64--70	1	afford citi price
46	3373_0	two word free wine	wine	16--20	1	word free wine
47	425_0	the price be reason although the servic be poor	price	4--9	1	reason price the
48	425_1	the price be reason although the servic be poor	servic	37--44	-1	poor servic the
49	3192_0	the quantiti be also veri good you will come out satisfi	quantiti	4--12	1	the good quantiti
50	391_0	i stumbl upon thi second floor walk up two friday ago when i be with two friend in town from l a be seriou sushi lover we sit at the sushi bar to be close to the action	sushi	118--123	0	sushi bar lover
51	391_1	i stumbl upon thi second floor walk up two friday ago when i be with two friend in town from l a be seriou sushi lover we sit at the sushi bar to be close to the action	sushi bar	146--155	0	bar sit sushi at lover the
52	2384_0	the fri rice be amaz here	fri rice	4--14	1	the rice fri amaz
53	2962_0	three cours choic includ excel mussel puff pastri goat chees and salad with a delici dress and a hanger steak au poivr that be out of thi world	mussel	42--49	1	mussel chees
54	2962_1	three cours choic includ excel mussel puff pastri goat chees and salad with a delici dress and a hanger steak au poivr that be out of thi world	puff pastri goat chees	51--74	1	and pastri salad excel chees puff mussel goat
55	2962_2	three cours choic includ excel mussel puff pastri goat chees and salad with a delici dress and a hanger steak au poivr that be out of thi world	salad with a delici dress	79--110	1	a and salad dress excel chees poivr delici with
56	2962_3	three cours choic includ excel mussel puff pastri goat chees and salad with a delici dress and a hanger steak au poivr that be out of thi world	hanger steak au poivr	118--140	1	a hanger poivr au world steak dress
57	2962_4	three cours choic includ excel mussel puff pastri goat chees and salad with a delici dress and a hanger steak au poivr that be out of thi world	cours	6--13	0	cours excel three includ
58	3404_0	it s a perfect place to have a amaz indian food	indian food	40--51	1	food a indian have amaz
59	2599_0	the place be so cool and the servic be prompt and curiou	servic	29--36	1	prompt servic place the
60	2599_1	the place be so cool and the servic be prompt and curiou	place	4--9	1	and the place servic cool
61	673_0	at the end you re leav with a mild broth with noodl that you can slurp out of a cup	broth with noodl	35--53	1	a noodl broth re mild with
62	648_0	i just wonder how you can have such a delici meal for such littl money	meal	48--52	1	a such delici meal have
63	648_1	i just wonder how you can have such a delici meal for such littl money	money	69--74	1	money littl for have such
64	1623_0	the wine list be excel	wine list	4--13	1	excel the list wine
65	430_0	ive be to mani thai restaur in manhattan befor and toon be by far the best thai food ive have except for my mom s of cours	thai food	84--93	1	food ive thai restaur
66	1101_0	they wouldnt even let me finish my glass of wine befor offer anoth	glass of wine	35--48	0	finish of glass anoth my wine
67	324_0	them ask we have to ask more detail question so that we know what the special be	special	75--83	0	be the special
68	2783_0	thi be a consist great place to dine for lunch or dinner	lunch	47--52	0	lunch dine or for dinner
69	2783_1	thi be a consist great place to dine for lunch or dinner	dinner	56--62	0	lunch dinner
70	2783_2	thi be a consist great place to dine for lunch or dinner	dine	38--42	1	to dine place lunch
71	2983_0	nice atmospher the servic be veri pleasant and the desert be good	atmospher	5--15	1	veri servic atmospher nice
72	2983_1	nice atmospher the servic be veri pleasant and the desert be good	servic	21--28	1	servic the atmospher
73	2983_2	nice atmospher the servic be veri pleasant and the desert be good	desert	55--61	1	the good desert nice
74	627_0	after realli enjoy ourselv at the bar we sit down at a tabl and have dinner	bar	39--42	1	enjoy the bar at sit
