	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
0	2333_1	obvious one of the most import featur of ani comput is the human interfac	human interfac	69--84	0	obvious one the is the human interfac	0.0
1	1805_1	good for everi day comput and web brows	everi day comput	9--28	1	good for everi day comput and brows	1.0
2	2782_2	while the keyboard itself is alright the plate around it is cheap plastic and make a hollow sound when use the mous command button	mous command button	115--136	-1	the the use the mous command button	0.0
3	1385_0	again the same problem the right speaker did not work	right speaker	29--42	-1	the same problem the right speaker	-1.0
4	1423_0	my problem wa with dell custom servic	dell custom servic	20--41	-1	problem wa with dell custom servic	-1.0
5	104_0	is thi partial due to the fact that it is run window vista	window vista	53--66	0	run window vista	0.0
6	398_0	accordingli i have decid to never purchas anoth hp product my five year old compaq last 5 year befor the hard drive crash	hard drive	117--127	-1	the hard drive crash	-1.0
7	2766_1	i did think it had a camera becaus that wa one of my requir but forgot to check in the specif on thi one befor i purchas	specif	96--110	0	one check in the specif one	0.0
8	2808_5	cord come out the right for power plu cord come out front for headphon mic plu network connect on left make for a veri messi setup with cord go everi direct	setup	138--143	-1	for cord for make for a veri messi setup cord	-1.0
9	1727_0	the most recent be that my safari internet browser is freak out on me but i have just been use firefox instead	safari internet browser	30--53	-1	my safari internet browser freak	-1.0
10	1440_0	my last comput a toshiba cost onli $ 400 and work like a charm for mani year	cost	29--33	1	last comput cost and work	0.0
11	267_0	the machin ha a bluray player the book ha no mention of it or how to connect it to your hdtv	bluray player	18--31	0	ha a bluray player ha	0.0
12	2219_0	the touchpad is veri intuit so much so that i never want to use button to click again	touchpad	4--12	1	the touchpad is veri intuit so so want	1.0
13	2845_1	i bought thi laptop becaus of the perform to price ratio	price	51--56	1	price ratio	0.0
14	1757_2	great laptop for the price work well with action pack game	work	28--33	1	laptop work well game	1.0
15	667_0	the batteri is realli long	batteri	4--11	1	the batteri is realli long	0.0
16	2034_0	i had someth els go wrong and they said it had to be in good work order to be abl to buy the warranti	warranti	101--109	-1	abl buy the warranti	0.0
17	2009_1	the batteri never held a charg longer than one hour and within two month stop hold a charg for more than ten minut	charg	27--33	-1	a charg longer hold a charg minut	0.0
18	2063_0	web access through the 3g network is so slow it s veri frustrat and veri disappoint	3g network	23--33	-1	access through the 3g network is so slow	0.0
19	2142_0	everyth about a mac is wonder it take a littl use to learn and get use to the new system but you will learn fast and it all worth it	system	100--106	0	take littl use to learn use to the new system	0.0
20	3074_0	the screen is bright and the keyboard is nice	screen	4--10	1	the screen is bright and keyboard is nice	1.0
21	1852_0	after that the said it wa under warranti	warranti	35--43	0	said it wa under warranti	0.0
22	3042_2	hard disk the new edit give you more hard disk space 500gb instead of 320gb but time ha taught me never to trust an intern hard disk	intern hard disk	126--144	0	hard disk new edit give more hard disk taught trust an intern hard disk	1.0
23	2305_0	the onli down fall is that it ha no cd drive but i found that they are veri cheap to by and also veri portabl make thi the best friend to someon who is alway look for more space then they have	cd drive	37--45	-1	ha no cd drive	-1.0
24	1370_0	when we bought our new hp comput in dec of 2008 we want window xp but were told it would cost an extra $ 159 so we went with vista	vista	133--138	0	went with vista	0.0
25	130_0	but now i have realiz it a problem with thi brand	brand	48--53	-1	problem with thi brand	-1.0
26	395_0	the comput wa two week late in deliveri becaus hp forgot to complet the requir import paperwork	deliveri	35--43	-1	comput wa late in deliveri forgot	0.0
27	773_0	i m tire of the inept servic	servic	23--30	-1	i m tire of the inept servic	-1.0
28	2516_1	great pick for portabl and afford	afford	31--44	1	portabl afford	0.0
29	99_0	after way too mani time send the thing in for repair deliveri servic wa slow and without the laptop i had no access to the internet and thu no way of track it to find out when i might hope to see my comput again it final kick the bucket after just over 2 year	deliveri servic	59--75	-1	way thing in for repair deliveri servic wa slow and had and way	0.0
30	1770_0	it ha far exceed my expect for power storag and abil	power	40--45	1	exceed for power storag and abil	1.0
31	1187_0	anoth includ program that is laughabl is the chess game	includ program	8--24	-1	anoth includ program that is laughabl is game	1.0
32	1376_1	it seem they could have updat xp and done without creat vista	vista	62--67	-1	creat vista	1.0
33	460_0	then after 4 or so month the charger stop work so i wa forc to go out and buy new hardwar just to keep thi comput run	charger	30--37	-1	the charger stop	-1.0
34	2112_0	even out of warranti	warranti	12--20	0	out of warranti	0.0
35	1710_0	the macbook is also made better my comput ha never got a viru and the laptop run just as fast as the first day i bought it	run	83--87	1	made laptop run bought	0.0
36	781_0	the dvd burner broke after burn 3 dvd d dure that time	dvd burner	4--14	-1	the dvd burner broke burn 3 dvd	-1.0
37	1372_3	we have had numer problem with vista such as adob flash player just quit and ha to be uninstal and then reinstal internet explor just quit and you lose whatev you were work on also the same window updat ha appear on thi comput sinc we got it and ha been updat probabl 400 time the same updat	window updat	215--229	-1	such as flash the same window updat appear the same updat	0.0
38	387_0	the keyboard is slick and quiet and not bulki like some other laptop i have had in the past	keyboard	4--12	1	the keyboard is slick and quiet and not bulki other laptop	0.0
39	388_3	the processor is veri quick and effect as i load webpag and applic	webpag	52--60	0	quick and effect load webpag and applic	1.0
40	2226_0	now i have the best of both world with all of the power and eas of the mac	power	51--56	1	the of all of the power and eas of the mac	1.0
41	286_0	the display is beyond horribl	display	4--11	-1	the display is beyond horribl	-1.0
42	2644_2	it s so much easier to navig through the oper system to find file and it run a lot faster	navig	23--31	1	easier to navig system to	1.0
43	1186_0	and if you do a lot of write edit is a problem sinc there is no forward delet key	delet key	80--91	-1	is is no forward delet key	-1.0
