	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
0	2333_1	obviously one of the most important features of any computer is the human interface	human interface	69--84	0	interface is the human one
1	1805_1	good for every day computing and web browsing	every day computing	9--28	1	and good for computing every browsing day
2	2782_2	while the keyboard itself is alright the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons	mouse command buttons	115--136	-1	buttons using the mouse command
3	1385_0	again the same problem the right speaker did not work	right speaker	29--42	-1	the work speaker right
4	1423_0	my problem was with dell customer service	dell customer service	20--41	-1	customer service was dell problem with
5	104_0	is this partially due to the fact that it is running windows vista	windows vista	53--66	0	windows running due vista
6	398_0	accordingly i have decided to purchase another product my five year old lasted 5 years before the hard drive crashed	hard drive	117--127	-1	crashed the hard drive
7	2766_1	i did think it had a camera because that was one of my requirements but forgot to check in the specifications on this one before i purchased	specifications	96--110	0	specifications the one check in
8	2808_5	cords coming out the right for power plus cords coming out front for headphones mic plus network connection on left make for a very messy setup with cords going every direction	setup	138--143	-1	a for make messy cords setup
9	1727_0	the most recent being that my safari internet browser is freaking out on me but i have just been using firefox instead	safari internet browser	30--53	-1	browser my internet safari freaking
10	1440_0	my last computer a cost only $400 and worked like a charm for many years	cost	29--33	1	a and computer only cost worked
11	267_0	the machine has a bluray player the book has no mention of it or how to connect it to your	bluray player	18--31	0	a player has bluray
12	2219_0	the touchpad is very intuitive so much so that i never want to use buttons to click again	touchpad	4--12	1	touchpad the intuitive
13	2845_1	i bought this laptop because of the performance to price ratio	price	51--56	1	price ratio
14	1757_2	for the price works well with action pack games	works	28--33	1	games price works well for
15	667_0	the battery is really long	battery	4--11	1	battery the long
16	2034_0	i had something else go wrong and they said it had to be in good working order to be able to buy the warranty	warranty	101--109	-1	warranty the buy
17	2009_1	the battery never held a charge longer than one hour and within two months stopped holding a charge for more than ten minutes	charge	27--33	-1	a charge minutes longer holding
18	2063_0	web access through the 3g network is so slow it s very frustrating and	3g network	23--33	-1	access 3g the through network
19	2142_0	everything about a mac is wonderful it takes a little used to learning and getting used to the new system but you will learn fast and its all worth it	system	100--106	0	to the used system new
20	3074_0	the screen is bright and the keyboard is nice	screen	4--10	1	the bright screen
21	1852_0	after that the said it was under warranty	warranty	35--43	0	warranty said was it under
22	3042_2	disk the new editions gives you more hard disk space 500gb instead of 320gb but time has taught me never to trust an internal hard disk	internal hard disk	126--144	0	trust hard an taught 500gb disk internal gives
23	2305_0	the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have	cd drive	37--45	-1	cd has drive no
24	1370_0	when we bought our new computer in of 2008 we wanted but were told it would cost an extra $159 so we went with vista	vista	133--138	0	went with vista
25	130_0	but now i have realized its a problem with this brand	brand	48--53	-1	this problem with brand
26	395_0	the computer was two weeks late in delivery because forgot to complete the required import paperwork	delivery	35--43	-1	late in delivery computer forgot was
27	773_0	i m tired of the inept service	service	23--30	-1	of the inept service tired
28	2516_1	pick for portability and affordability	affordability	31--44	1	affordability portability
29	99_0	after way too many times sending the thing in for repairs delivery service was slow and without the laptop i had no access to the internet and thus no way of tracking it to find out when i might hope to see my computer again it finally kicked the bucket after just over 2 years	delivery service	59--75	-1	sending service for repairs delivery in
30	1770_0	it has far exceeded my expectations for power storage and ability	power	40--45	1	storage power
31	1187_0	another included program that is laughable is the chess game	included program	8--24	-1	included game program laughable another
32	1376_1	it seems they could have updated and done without creating vista	vista	62--67	-1	vista creating
33	460_0	then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running	charger	30--37	-1	charger the stopped
34	2112_0	even out of warranty	warranty	12--20	0	warranty of out
35	1710_0	the is also made better my computer has never got a virus and the laptop runs just as fast as the first day i bought it	runs	83--87	1	runs just laptop fast got bought
36	781_0	the dvd burner broke after burning 3 dvd d during that time	dvd burner	4--14	-1	dvd the burner d broke
37	1372_3	we have had numerous problems with such as player just quits and has to be uninstalled and then reinstalled just quits and you lose whatever you were working on also the same windows update has appeared on this computer since we got it and has been updated probably 400 times the same update	windows update	215--229	-1	updated appeared update same times windows the
38	387_0	the keyboard is slick and quiet and not bulky like some other laptops i have had in the past	keyboard	4--12	1	the slick keyboard
39	388_3	the processor is very quick and effective as i load webpages and applications	webpages	52--60	0	load and webpages applications
40	2226_0	now i have the best of both worlds with all of the power and ease of the	power	51--56	1	of all the power
41	286_0	the display is beyond horrible	display	4--11	-1	the display horrible
42	2644_2	it s so much easier to navigate through the operating system to find files and it runs a lot faster	navigate	23--31	1	system navigate easier to
43	1186_0	and if you do a lot of writing editing is a problem since there is no forward delete key	delete key	80--91	-1	forward is delete key no
44	961_0	this time the mouse pad and right click key wouldn t work	mouse pad	16--25	-1	and pad time the mouse click
45	2071_1	so i called customer support which is good too and they went through it and it is just a safety feature and it does not affect performance at all i just chose to hide the message	performance	129--140	0	affect performance
46	2711_0	seems to slow down occasionally but can run many applications ie tabs programs etc simultaneously	applications	50--62	1	applications run many
47	2558_0	we figure that after everything pc actually ended up costing $350 more than my original	costing	57--64	-1	ended original costing
48	2752_1	i am using the external speaker sound is good	sound	33--38	1	sound the good speaker external
49	1576_0	the display on this computer is the best i ve seen in a very long time the battery life is very long and very continent	display	4--11	1	the computer ve display
50	2435_0	i was disappointed when i realized that the keyboard doesn t light up on this model	keyboard	44--52	-1	t keyboard
51	1399_0	the graphics are awful and the wireless switch it at the top rather than the side which i am used to it being on the side	graphics	4--12	-1	awful the graphics
52	2159_0	the battery life is also relatively good	battery life	4--16	1	battery life good the
53	2863_0	the price and features more than met my needs	price	4--9	1	and met price the features
54	2594_0	it made the computer much easier to use and navigate	use	36--39	1	and to use made navigate
55	2336_0	i bought a cordless mouse for it but don t always take it out	cordless mouse	11--25	1	a cordless mouse bought
56	1570_0	company provides shipping fast great	shipping	21--29	1	great shipping provides
57	1088_1	a second as 11 7 service	service	140--147	-1	a second service
58	1599_0	i do not experience a lot of heat coming out of it however i would highly suggest purchasing a stand however due to the nature of the design of the macbook as it is one very large heat sink	stand	96--101	0	a stand purchasing
59	1969_0	i also like the acer arcade but these were really the only two things i liked about this laptop	acer arcade	16--27	1	acer the like arcade
60	2622_1	why it s because when you buy it you know first thing that you will not lose any value for that laptop the price will stay the same for the next year and even if does decides to change mode your laptop value will only drop 10 20% unlike pc laptops which drop more than 80%	price	117--122	1	price the stay
61	926_0	but guess what you have to buy an external dvd drive it doesn t have a built in type the notebook can t be used because it doesn t read anything for an external drive	external dvd drive	37--55	-1	buy for anything dvd it drive external have an
62	1986_0	i had to re install windows within two weeks of the purchase and soon discovered cracks in the screen hinges	windows	20--27	-1	windows install
63	2837_0	the mouse is way way way to sensitive	mouse	4--9	-1	sensitive the mouse
64	1691_1	the paint wears off easily due to the keyboard being farther back than usual	keyboard	38--46	-1	back to the due keyboard
65	878_0	the tech store i purchased this from sent it back eventually i got a new or repaired machine approximately 3 weeks later	tech store	4--14	-1	the purchased tech store sent
66	956_0	i sent it back and found this time that the battery was faulty so i got a new one and some other fixes they found	battery	46--53	-1	battery the faulty
67	1964_0	this computer was so challenging to carry and handle	carry	36--41	-1	carry to and handle challenging
68	367_0	i am addicted to photo booth	photo booth	17--28	1	addicted to booth photo
69	1716_1	there was a little difficulty doing the migration as the firewire cable system can t be used with the ibook	ibook	102--107	0	the used with ibook
70	80_0	laptop that offers many great features	features	36--44	1	many great offers features
71	712_0	i love my it is quick and easy to use	use	41--44	1	quick to use
72	1192_1	the other lock up problems are from a myriad of causes the most common being a corrupted version of which can render the browser useless	browser	133--140	-1	the useless browser
73	2574_0	i play a lot of casual games online and the touchpad is very responsive	touchpad	45--53	1	touchpad the online
74	1819_2	it didn t come with any software installed outside of windows media but for the price i was very pleased with the condition and the overall product	price	81--86	1	i price
75	1399_1	the graphics are awful and the wireless switch it at the top rather than the side which i am used to it being on the side	wireless switch	31--46	-1	top it wireless switch awful the
76	1377_0	you know using the computer should be fun not aggravation especially when you are playing games or working with photos	playing games	85--98	0	working when or aggravation games are you playing
77	1582_0	screen great battery life and plenty of storage	screen	6--12	1	battery screen
78	76_1	i even got my teenage son one because of the features that it offers like ichat garage band and more	ichat	77--82	1	band ichat
79	277_0	the internet was locked and froze every time it was trying to be used and the command prompt would not work at all	internet	4--12	-1	the locked internet
80	207_1	learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on machines	shortcuts	93--102	0	all shortcuts of same keyboard the minutes
81	2214_0	the program came with the computer and works beautifully	program	4--11	1	the program came
82	115_0	the battery life before the battery completely died of course left much to be desired	battery life	4--16	-1	battery course life the died
83	2909_0	had many higher priced computers crash and burn long before ever got to use all that great memory and speed etc	memory	96--102	-1	great use that all memory
84	2808_3	cords coming out the right for power plus cords coming out front for headphones mic plus network connection on left make for a very messy setup with cords going every direction	mic	80--83	-1	for mic headphones connection plus coming left
85	2649_1	the processor screams and because of the unique way that osx 16 functions most of the graphics are routed through the hardware rather than the software	osx 16	64--70	1	osx functions 16 way that
86	634_0	i respond that i do not have the old computer and this way i would lose the data on my hard drive	hard drive	87--97	-1	on hard my drive lose
87	1259_0	was no help and could not determine the problem after spending about 2 hours with me so i returned it and purchased a r700 that seems even nicer and i was able to load all of my software with no problem	software	200--208	1	of all my software
88	2918_0	if you check you will find the same notebook with the above missing ports and a dual core or processor	ports	68--73	0	and core missing ports the with find
89	779_0	this is my first i heard their customer service was lacking and that they were working on improving it	customer service	36--52	-1	customer their service lacking
90	1937_0	i got it back and my built in webcam and built in mic were shorting out anytime i touched the lid mind you this was my means of communication with my fiance who was deployed but i suffered thru it and would constantly have to reset the computer to be able to use my cam and mic anytime they went out	built in webcam	21--36	-1	and webcam built mic in my
91	1378_0	windows also shuts the computer down for no reason without warning	windows	0--7	-1	windows shuts
92	2561_2	i wish iwork or ms office came with the but ms office doesn t even come with most pc laptops	ms office	49--58	-1	office t ms iwork the came
93	2573_1	i upgraded the memory and replaced the base windows 7 starter to win 7 and it runs just fine	windows 7 starter	44--61	0	windows win base 7 the starter
94	2447_0	its fast has high definition quality in the videos	high definition quality	14--37	1	high definition has quality videos
95	899_0	the computer itself was fast ran smoothly and had no problems	ran	30--33	1	ran and computer had smoothly
96	908_0	also my sister got the exact same laptop since they were so cheap and after 8 months the screen split in half just from everyday use	screen	93--99	-1	the screen split
97	1812_0	the difference is it s a whole lot of fun using the laptop now still learning the apple navigation but is fun and comes with a lot of cool apps	apple navigation	83--99	0	fun the navigation apple
98	462_0	unable to boot up this brand new laptop	boot up	10--17	-1	to laptop unable boot up
99	678_1	and plenty of storage with 250 gb though i will upgrade this and the ram	ram	69--72	0	this the ram
100	2510_0	waiting for the i7 was well worth it great value for the price	price	58--63	1	the price for value
101	120_0	the dvd drive randomly pops open when it is in my backpack as well which is annoying	dvd drive	4--13	-1	pops dvd the drive
102	1964_1	this computer was so challenging to carry and handle	handle	46--52	-1	carry handle
103	1696_1	the size is perfect and i do not recommend anything bigger except for any person who can exceed the limited space it gives you	space	107--112	-1	limited the it space
104	255_0	there is a small red circle next to it with a x in the middle and when i click on it it says consider replacing your battery and it does not hold full charge	battery	121--128	0	replacing battery your
105	3062_2	the screen is nice and the images comes very clear the keyboard and the fit just feels right	fit	73--76	1	the fit keyboard
106	38_1	in the shop these macbooks are encased in a soft rubber enclosure so you will never know about the razor edge until you buy it get it home break the seal and use it very clever con	edge	108--112	-1	the about edge know razor
107	1110_0	going to bring it to service today	service	21--28	0	bring today service to
108	219_0	the macbooks are small enough to be very portable yet hold tons of information and performance	performance	83--94	1	information performance
109	2933_0	the graphics are great	graphics	4--12	1	great the graphics
110	3047_0	their staff could send you back making you feel that only they know what a computer is	staff	15--20	-1	their send staff
111	2540_1	the programs are say to use and are quick to process this computer works like a charm	use	25--28	1	to say use
112	2680_0	again decent comp for the price and i was in need of one quickly as my other laptop died on me	price	27--32	1	and for i comp price the
113	2619_1	everything i have tried has worked and i never have to carry the wall charger cause the battery is so awesome	battery	88--95	1	battery awesome the
114	388_2	the processor is very quick and effective as i load webpages and applications	load	47--51	1	quick load as i webpages
115	1225_0	the computer was shipped to their repair depot on june 24 and returned on 2 seems like a short turn around time except the computer was not repaired when it was returned	repair depot	34--46	0	to shipped depot repair their
116	2603_0	i am most impressed with the programming including the iphoto	programming	29--40	1	with impressed the programming iphoto
117	1152_0	then the hard drive failed	hard drive	9--19	-1	failed the hard drive then
118	2242_0	the graphics are stunning	graphics	4--12	1	stunning the graphics
119	1174_1	i also purchased for $300 which is a three year extended warranty since i ve never seen any laptop that lasted more than two	extended warranty	63--80	0	warranty extended ve year
120	2380_1	previous laptops were pc s still have them but the mac osx is a clean and smooth operating system	operating system	83--99	1	a osx have is system operating clean
121	2541_2	the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozilla firefox i love every single bit about it	mozilla firefox	110--125	1	i mozilla firefox
122	331_1	it has a 10 hour battery life when you re doing web browsing and word editing making it perfect for the classroom or office and in terms of gaming and movie playing it ll have a battery life of just over 5 hours	battery life	180--192	1	a 10 life hour battery hours re have has
123	3041_0	processor when compared to my 3 week old early 2011 edition there i barely experience any difference in performance 2 3 v s 2 4	processor	0--9	0	s processor experience
124	1776_0	the arrived in a nice twin packing and sealed in the box all the functions works great	twin packing	30--42	1	a twin packing arrived in nice
125	1438_4	externally the keys on my keyboard are falling off after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit and the screen has a terrible glare	paint	73--78	-1	paint rubbing the
126	455_1	itunes is a handy music management program and it is essential for anyone with an ipod	program	35--42	1	a and management is essential itunes program music handy
127	1358_0	because we did not purchase the extended warranty in time we are on the hook for the repair	extended warranty	32--49	-1	warranty purchase extended hook time the
128	2672_0	the price is great for this model i only plan on using it for media in the entertainment room	price	4--9	1	the great price
129	2923_0	the battery life seems to be very good and have had no issues with it	battery life	4--16	1	battery life seems the
130	1028_0	or the cursor would show up some place else	cursor	7--13	-1	cursor the or show
131	98_0	it took several weeks just to get them to acknowledge that i owned the warranty	warranty	71--79	-1	warranty the owned
132	2974_0	it runs very quiet too which is a plus	runs	3--7	1	runs plus it quiet
133	2004_1	if you really want a bang up system and don t need to run windows applications go with an	windows applications	58--78	0	go applications windows
134	1457_0	i must keep it plugged in at all times because it will not keep a charge for longer than four minutes	charge	68--74	-1	a charge keep
135	1992_1	anyway in early of this year the burner stopped working and the computer stared having issues with power supply	power supply	111--123	-1	with having power supply
136	1717_1	the ibook backup also uses a firewire connection	firewire connection	31--50	0	a connection firewire uses
137	1172_0	i ordered through which saved me the sales tax i would have incurred buying locally	sales tax	46--55	1	tax the saved sales incurred
138	1057_0	has set me up with recovery discs when they are available since i asked	recovery discs	29--43	1	available discs set with recovery
139	1733_0	games being the main issue	games	0--5	-1	issue games
140	1366_1	after the warrenty expired the hard drive went bad and it would have cost more to fix then to replace	hard drive	33--43	-1	the went hard drive
141	1796_0	despite the claims of the apologists a vice of which i am recently myself reformed the internals of laptops are different from pcs at this point	internals	95--104	-1	laptops the internals reformed
142	552_0	overall features	features	16--24	0	overall features
143	1587_0	it is in the best condition and has a really high quality	quality	50--57	1	a high has quality
144	697_0	the 13 just fits in my budget and with free shipping and no tax to ca this is the best price we can get for a great product	shipping	57--65	1	and tax budget free shipping with
145	1740_1	the this is made out of seems a lot nicer than any pc specs like i said this performs a lot better than any computer i ve had in the past	specs	68--73	-1	i pc said specs any
146	2795_0	at first it worked well for a month or so then the system board failed and i send it in to toshiba some complaints and three weeks later i then receive my laptop back only to discover that it still has the same problem so now i have to send it back again to get it fixed again	system board	51--63	-1	then the so board system
147	1867_2	i think part of the problem with this computer is yet i know isn t the entire issue because my latest purchase was my acer and it also has vista i should have waited the few months to get the next operating system	operating system	211--227	0	the next operating system get
148	1928_1	after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard	motherboard	114--125	0	a motherboard installed failed new the
149	2093_0	i love a pc but i was ready for a change and tired of the windows system	windows system	60--74	-1	windows of the system tired
150	1730_0	its small enough where i can take it pretty much anywhere but still has a big enough screen to get everything done	screen	86--92	1	a get big screen enough has
151	1149_0	i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive	operating systems	93--110	-1	intuitive operating designed the crashing systems
152	490_0	but said we could send it back and be charged for adding the bluetooth an additional seventy something dollars	adding the bluetooth	55--75	-1	adding the bluetooth for charged
153	260_0	oh yeah and if the fancy webcam breaks guess who you have to send it to to get it fixed	webcam	26--32	-1	webcam breaks
154	392_0	i custom ordered the machine from and could understand the techie due to his accent	techie	66--72	-1	techie the due
155	1366_0	after the warrenty expired the hard drive went bad and it would have cost more to fix then to replace	warrenty	12--20	0	warrenty the expired
156	1071_0	i contacted and they are giving me free recovery dvds so don t go and pay for them just ask for them and they should give them to you	recovery dvds	45--58	1	giving dvds recovery free
157	388_1	the processor is very quick and effective as i load webpages and applications	applications	65--77	0	applications webpages
158	1179_1	first you ll discover that the word processing program known as rarely translates perfectly on anyone else s computer if it translates at all	word processing program	32--55	-1	computer processing program known word the
159	1746_4	screen keyboard and mouse if you cant see yourself spending the extra money to jump up to a the beautiful screen responsive island backlit keyboard and fun multi touch mouse is worth the extra money to me alone	multi touch mouse	165--182	1	multi touch keyboard fun mouse worth
160	1960_0	all in all a very disappointing experience except that i learned how good the is and also customer service	customer service	102--118	1	customer also is service
161	1819_1	it didn t come with any software installed outside of windows media but for the price i was very pleased with the condition and the overall product	windows media	54--67	0	windows media outside of installed
162	2954_0	it is loaded with programs that is of no good for the average user that makes it run way to slow	programs	18--26	-1	loaded with way programs
163	357_0	keyboard is reasonable size	keyboard	0--8	1	keyboard size
164	2236_3	also you may need to charge it once a day if for medium use every thing fast and easy with mac the size and look is the most feature that attracted me to it	charge	21--27	0	it to charge need day once
165	1470_0	the computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan	fan	156--159	-1	the fan clean out
166	1372_0	we have had numerous problems with vista such as player just quits and has to be uninstalled and then reinstalled just quits and you lose whatever you were working on also the same update has appeared on this computer since we got it and has been updated probably 400 times the same update	vista	37--42	-1	with vista problems player
167	1745_0	though the picture video and music software is nowhere close to professional grade software used to cs5 but does the job for beginner and even intermediate media designers	music software	31--45	-1	video grade to music professional close software
168	1373_1	i noticed windows has a new system called 7 what about us vista users they should get all the bugs out of vista before investing in a new system	vista	67--72	0	investing of vista users
169	2291_0	there is no need to open a program first and the click open or import	program	27--34	1	a program first
170	1595_3	its pretty fast and does not have hiccups while i am using it for web browsing uploading photos watching movies 720p on occasion and creating presentations	creating presentations	137--159	1	creating presentations watching
171	1376_0	it seems they could have updated xp and done without creating	xp	33--35	1	xp updated have
172	1620_0	i will never go back to windows	windows	24--31	-1	go windows to
173	400_2	the quality engineering design and warranty are superior covers damage from dropping the laptop	warranty	36--44	1	warranty design
174	2660_0	the body is a bit cheaply made so it will be interesting to see how long it holds up	body	4--8	-1	body the made
175	2534_1	but the machine is awesome and ilife is great and i love snow leopard x	snow leopard x	57--71	1	x great love snow leopard
176	2187_1	compared to similarly spec d pcs this machine is good value well built and works easily right out of the box	built	67--72	1	and works well built value
177	2225_1	i also enjoy the fact that my laptop allows me to run 7 on it by using the vmware program	vmware program	95--109	0	using the program vmware
178	374_3	love the graphics awesome programs including and really cool default background	default background	76--94	1	default background cool
179	1192_0	the other lock up problems are from a myriad of causes the most common being a corrupted version of appleworks which can render the browser useless	appleworks	101--111	-1	of version appleworks render
180	1494_0	i made a photo book as a gift on my computer pushed and it drew from my itunes account and sent the book to my house the book was of perfect quality exactly how i had created it and looked better than i had even imagined	itunes	80--86	0	itunes account
181	995_0	it did fairly well other than it s poor performance overheating and occasional blue screen	performance	41--52	-1	performance overheating
182	1564_0	the display is awesome	display	4--11	1	the awesome display
183	2749_0	love that it doesn t take up space like a regular computer	space	29--34	1	computer take space
184	577_1	it gives me the power and speed that i need to run all the programs i use to edit	speed	26--31	1	speed power
185	1037_0	the driver updates don t fix the issue very frustrating	driver updates	4--18	-1	driver t updates
186	61_0	what i d like is for the laptop to run well without having to purchase additional memory	memory	82--88	-1	purchase additional memory
187	27_0	the ease of set up was terrific	set up	12--18	1	of ease set up
188	2407_1	you can even run a parallels type program easily and run any leftover pc software that you absolutely cannot be without	software	73--81	1	pc leftover run any software
189	3055_1	it has a 1 ghz faster processor and a stock 500gb hard drive	500gb hard drive	45--61	1	500gb hard drive stock
190	515_1	they said that my computer was covered on an extended warranty and that products with extended warranties are taken care of through third parties and not itself anymore	extended warranties	88--107	0	warranty with extended products warranties
191	237_2	i had my ms office network and printers set up and completely working perfectly within an hour	ms office	32--41	1	office network ms
192	1574_1	i love the operating system and the preloaded software	preloaded software	36--54	1	the system preloaded software
193	464_0	they went through asking me open up various components taking battery out hard disk apart and after 2 hours on phone could not fix it	battery	63--70	0	battery taking
194	1878_2	1 you can not change your desktop background window s 7 starter does support that function	function	87--95	-1	function support that
195	3034_0	if you buy this don t go into it expecting 7 hrs of battery life and you ll be perfectly satisfied	battery life	57--69	-1	battery of life hrs
196	2509_1	not only are the versions of these programs able to be saved worked on and opened on both a pc and the versions of these programs on a are graphically and functionally superior	programs	127--135	1	these of programs able versions
